"country","incomeperperson.x","internetuserate.x","urbanrate.x","Population..2020.","Yearly.Change","Net.Change","Density..P.Km².","Land.Area..Km².","Migrants..net.","Fert..Rate","Med..Age","Urban.Pop..","World.Share","incomeperperson.y","internetuserate.y","urbanrate.y","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","incomeperperson","internetuserate","urbanrate","Country.Code","Year","Value"
"Canada",25575.35262,81.33839269,80.4,37799407,"0.89 %",331107,4,9093510,242032,"1.5","41","81 %","0.48 %",25575.35262,81.33839269,80.4,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,25575.35262,81.33839269,80.4,"CAN",2016,1529760492201.35
"Central African Rep.",239.5187494,2.300026653,38.58,4843954,"1.78 %",84582,8,622980,-40000,"4.8","18","43 %","0.06 %",239.5187494,2.300026653,38.58,155,3.083,0.026,0,0.105,0.225,0.235,0.035,239.5187494,2.300026653,38.58,"CAF",2016,1756124677.19671
"Chad",275.8842865,1.700031496,26.68,16502877,"3.00 %",478988,13,1259200,2000,"5.8","17","23 %","0.21 %",275.8842865,1.700031496,26.68,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078,275.8842865,1.700031496,26.68,"TCD",2016,9600761473.78738
"Chile",6334.105194,45,88.44,19144605,"0.87 %",164163,26,743532,111708,"1.7","35","85 %","0.25 %",6334.105194,45,88.44,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,6334.105194,45,88.44,"CHL",2016,247027912574.35
"China",2425.471293,34.37778952,43.1,1440297825,"0.39 %",5540090,153,9388211,-348399,"1.7","38","61 %","18.47 %",2425.471293,34.37778952,43.1,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1,2425.471293,34.37778952,43.1,"CHN",2016,11199145157649.2
"Colombia",3233.42378,36.49987464,74.5,50976248,"1.08 %",543448,46,1109500,204796,"1.8","31","80 %","0.65 %",3233.42378,36.49987464,74.5,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,3233.42378,36.49987464,74.5,"COL",2016,282462551366.878
"Comoros",336.3687495,5.098265306,28.08,872695,"2.20 %",18715,467,1861,-2000,"4.2","20","29 %","0.01 %",336.3687495,5.098265306,28.08,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078,336.3687495,5.098265306,28.08,"COM",2016,616654490.413179
"Costa Rica",5188.900935,36.49911472,63.26,5102158,"0.92 %",46557,100,51060,4200,"1.8","33","80 %","0.07 %",5188.900935,36.49911472,63.26,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,5188.900935,36.49911472,63.26,"CRI",2016,57435507212.256
"Croatia",6338.494668,60.11970702,57.28,4100719,"-0.61 %",-25037,73,55960,-8001,"1.4","44","58 %","0.05 %",6338.494668,60.11970702,57.28,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,6338.494668,60.11970702,57.28,"HRV",2016,50714957390.5378
"Cyprus",15313.85935,53.02474483,69.9,1208886,"0.73 %",8784,131,9240,5000,"1.3","37","67 %","0.02 %",15313.85935,53.02474483,69.9,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,15313.85935,53.02474483,69.9,"CYP",2016,20047013274.3363
